"filename", "language", "JavaScript", "XML", "PostCSS", "vue", "HTML", "JSON", "YAML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/justiy/Documents/code/Project/APIX/CLIENT/CLIENT.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/.prettierrc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 13, 35
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/electron.vite.config.mjs", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 41
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/eslint.config.mjs", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/out/main/index.js", "JavaScript", 1349, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1353
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/out/preload/index.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 87
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/package-lock.json", "JSON", 0, 0, 0, 0, 0, 11294, 0, 0, 0, 0, 1, 11295
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/package.json", "JSON", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 1, 75
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/app/app.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 138
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/app/constants.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 42
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/ai_chat.js", "JavaScript", 273, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48, 333
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/ai_configuration.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41, 220
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/ai_files.js", "JavaScript", 349, 0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 417
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/ai_task.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 70
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/clipboard.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/file.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39, 192
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/local_task.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 58
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/login_register.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 111
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ipc/windowIpc.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/main/ws/wsClient.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 27, 30, 178
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/preload/index.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 144
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 2, 18
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/App.vue", "vue", 0, 0, 0, 216, 0, 0, 0, 0, 0, 1, 31, 248
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/LoginPage.vue", "vue", 0, 0, 0, 472, 0, 0, 0, 0, 0, 4, 95, 571
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/background/main_page.html", "HTML", 0, 0, 0, 0, 390, 0, 0, 0, 0, 13, 54, 457
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/docs/ragDocs.html", "HTML", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 44, 276
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/docs/roleDocs.html", "HTML", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 33, 166
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/docs/skillDocs.html", "HTML", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 36, 201
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/global.css", "PostCSS", 0, 0, 398, 0, 0, 0, 0, 0, 0, 69, 74, 541
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/claude.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/custom.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/deepseek.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/google.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/grok.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/huggingface.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/moonshot.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/ollama.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/ollama2.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/openai.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/qwen.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/llm_providers/xiaomimimo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/something_else/keyDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/icons/something_else/keyLight.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/assets/tab_card_global.css", "PostCSS", 0, 0, 183, 0, 0, 0, 0, 0, 0, 18, 37, 238
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/components/commonFunction.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/main.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 43
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/router/index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 80
"/Users/justiy/Documents/code/Project/APIX/CLIENT/apix-app/src/renderer/src/router/pageRegistry.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 47
